rank,account_id,company_name,plan_tier,csm_assigned,region,mrr,arr,churn_proba,risk_tier,arr_at_risk,contract_end_date,recommended_action
1,ACC-1194,Pruitt-Webb,enterprise,Priya Sharma,EMEA,23949.06,287388.72,0.9573,Critical,275117.0,2022-12-26,Executive escalation + QBR within 7 days
2,ACC-0119,May-Ross,enterprise,Anna Kowalski,APAC,22308.71,267704.52,0.9971,Critical,266928.0,2024-12-29,Executive escalation + QBR within 7 days
3,ACC-0767,Johnson LLC,enterprise,Sarah Chen,,21701.95,260423.4,0.9886,Critical,257455.0,2022-11-29,Executive escalation + QBR within 7 days
4,ACC-0965,Moore and Sons,enterprise,Anna Kowalski,EMEA,20989.69,251876.28,0.9977,Critical,251297.0,2025-11-15,Executive escalation + QBR within 7 days
5,ACC-0354,"Morris, Thompson and Williams",enterprise,Anna Kowalski,EMEA,21489.47,257873.64,0.963,Critical,248332.0,2025-09-07,Executive escalation + QBR within 7 days
6,ACC-1858,Roberts Group,enterprise,Anna Kowalski,APAC,20895.2,250742.4,0.983,Critical,246480.0,2024-01-08,Executive escalation + QBR within 7 days
7,ACC-0945,Wood LLC,enterprise,Lena Müller,,21229.69,254756.28,0.9534,Critical,242885.0,2023-09-28,Executive escalation + QBR within 7 days
8,ACC-0202,White-Lewis,enterprise,Sarah Chen,EMEA,19691.61,236299.32,0.9976,Critical,235732.0,2024-08-14,Executive escalation + QBR within 7 days
9,ACC-0204,"Beard, Peters and Black",enterprise,Yuki Tanaka,,18826.4,225916.8,0.9926,Critical,224245.0,2024-03-17,Executive escalation + QBR within 7 days
10,ACC-1560,"Burns, Hanson and Garza",enterprise,Anna Kowalski,,18924.01,227088.12,0.9734,Critical,221048.0,2022-12-08,Executive escalation + QBR within 7 days
11,ACC-1668,Patterson Inc,enterprise,Marco Ricci,,18406.83,220881.96,0.9862,Critical,217834.0,2026-02-22,Executive escalation + QBR within 7 days
12,ACC-1036,Kramer-Lane,enterprise,Yuki Tanaka,,17347.46,208169.52,0.996,Critical,207337.0,2023-12-15,Executive escalation + QBR within 7 days
13,ACC-1746,Gentry Group,enterprise,Anna Kowalski,APAC,17165.57,205986.84,0.9991,Critical,205801.0,2022-07-16,Executive escalation + QBR within 7 days
14,ACC-0424,Hernandez-Jones,enterprise,James Okonkwo,,16904.2,202850.4,0.9959,Critical,202019.0,2024-03-06,Executive escalation + QBR within 7 days
